TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DT,Lithology,Well
685.56,627.6475,18.8595,0.0682,0.0278,0.8372,7.4798,119.1727,2.7192,0.0255,20000.0,13.4221,3.5423,65.7846,FILITO,3_BRSA_778_SE
685.57,647.286,19.1599,0.067,0.0286,0.8272,7.4694,118.5509,2.7193,0.0256,20000.0,13.3753,3.5345,65.7224,FILITO,3_BRSA_778_SE
685.58,642.6902,19.1311,0.0669,0.0298,0.8236,7.39,117.9292,2.7194,0.0257,20000.0,13.3286,3.5267,65.6603,FILITO,3_BRSA_778_SE
685.59,660.4344,19.5204,0.0654,0.0308,0.8154,7.2953,117.3074,2.7195,0.0259,20000.0,13.2818,3.5189,65.5981,FILITO,3_BRSA_778_SE
685.6,649.6489,19.246,0.0656,0.0309,0.8152,7.2568,116.6856,2.7196,0.026,20000.0,13.235,3.5111,65.536,FILITO,3_BRSA_778_SE
685.61,607.2506,18.3716,0.0703,0.0329,0.8236,7.0727,115.902,2.7192,0.0261,20000.0,13.0247,3.4969,65.4339,FILITO,3_BRSA_778_SE
685.62,560.9091,17.5308,0.0722,0.0332,0.8287,7.0186,115.1184,2.7189,0.0263,20000.0,12.8144,3.4827,65.3318,FILITO,3_BRSA_778_SE
685.63,532.0571,16.9539,0.0796,0.0324,0.8251,7.0776,114.3348,2.7186,0.0264,20000.0,12.6041,3.4685,65.2297,FILITO,3_BRSA_778_SE
685.64,487.26,16.1028,0.0884,0.0335,0.8246,7.035,113.5512,2.7182,0.0265,20000.0,12.3938,3.4543,65.1276,FILITO,3_BRSA_778_SE
685.65,444.1624,15.288,0.0892,0.0335,0.8318,7.0475,112.7676,2.7179,0.0266,20000.0,12.1835,3.4401,65.0255,FILITO,3_BRSA_778_SE
685.66,440.7824,15.2264,0.088,0.0321,0.8325,7.1775,111.984,2.7175,0.0268,20000.0,11.9732,3.4259,64.9234,FILITO,3_BRSA_778_SE
685.67,455.1046,15.3819,0.0898,0.0326,0.8235,7.1658,111.2004,2.7172,0.0269,20000.0,11.7629,3.4117,64.8213,FILITO,3_BRSA_778_SE
685.68,455.2403,15.4317,0.089,0.0324,0.8391,7.1806,110.4168,2.7168,0.027,20000.0,11.5526,3.3975,64.7192,FILITO,3_BRSA_778_SE
685.69,466.7401,15.8424,0.08,0.0302,0.8414,7.3334,109.6332,2.7164,0.0272,20000.0,11.3423,3.3833,64.6171,FILITO,3_BRSA_778_SE
685.7,470.2906,16.0004,0.0748,0.0307,0.8469,7.2974,108.8496,2.7161,0.0273,20000.0,11.132,3.3691,64.515,FILITO,3_BRSA_778_SE
685.71,463.6921,15.963,0.0764,0.0302,0.8622,7.3268,108.9775,2.7158,0.0273,20000.0,11.1045,3.3658,64.4715,FILITO,3_BRSA_778_SE
685.72,439.6642,15.7342,0.0754,0.0296,0.8802,7.3514,109.1053,2.7155,0.0273,20000.0,11.0771,3.3624,64.4281,FILITO,3_BRSA_778_SE
