TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DTC,Lithology,Well
54.86,0.0,0.0,1.0,1.0,1.0,0.0,82.3898,2.3605,-0.4071,39.197,0.5278,26.7452,56.1715,FOLHELHO,3_BRSA_889_SE
54.87,0.0,0.0,1.0,1.0,1.0,0.0,82.0723,2.3605,-0.4071,39.4903,0.523,26.7453,56.2069,FOLHELHO,3_BRSA_889_SE
54.88,0.0,0.0,1.0,1.0,1.0,0.0,81.7548,2.3605,-0.4071,39.7837,0.5182,26.7453,56.2423,FOLHELHO,3_BRSA_889_SE
54.89,0.0,0.0,1.0,1.0,1.0,0.0,81.4374,2.3605,-0.4071,40.077,0.5134,26.7453,56.2778,FOLHELHO,3_BRSA_889_SE
54.9,0.0,0.0,1.0,1.0,1.0,0.0,81.1199,2.3605,-0.4071,40.3704,0.5087,26.7454,56.3132,FOLHELHO,3_BRSA_889_SE
54.91,0.0,0.0,1.0,1.0,1.0,0.0,79.2253,2.3605,-0.4071,41.3516,0.5046,26.7454,56.2844,FOLHELHO,3_BRSA_889_SE
54.92,0.0,0.0,1.0,1.0,1.0,0.0,77.3305,2.3605,-0.4071,42.3328,0.5006,26.7454,56.2556,FOLHELHO,3_BRSA_889_SE
54.93,0.0,0.0,1.0,1.0,1.0,0.0,75.4358,2.3605,-0.4071,43.3141,0.4965,26.7454,56.2268,FOLHELHO,3_BRSA_889_SE
54.94,0.0,0.0,1.0,1.0,1.0,0.0,73.541,2.3605,-0.4071,44.2953,0.4925,26.7454,56.198,FOLHELHO,3_BRSA_889_SE
54.95,0.0,0.0,1.0,1.0,1.0,0.0,71.6463,2.3605,-0.4071,45.2766,0.4885,26.7454,56.1692,CALCILUTITO,3_BRSA_889_SE
54.96,0.0,0.0,1.0,1.0,1.0,0.0,69.7515,2.3605,-0.4071,46.2578,0.4844,26.7455,56.1404,CALCILUTITO,3_BRSA_889_SE
54.97,0.0,0.0,1.0,1.0,1.0,0.0,67.8568,2.3605,-0.4071,47.2391,0.4804,26.7455,56.1116,CALCILUTITO,3_BRSA_889_SE
54.98,0.0,0.0,1.0,1.0,1.0,0.0,65.962,2.3605,-0.4071,48.2203,0.4763,26.7455,56.0828,CALCILUTITO,3_BRSA_889_SE
