TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO
489.65,71.1928,5.6798,0.1823,0.0386,0.8912,6.7459,98.8911,2.4846,0.0132
489.66,69.4164,5.5726,0.1858,0.0384,0.8937,6.7654,99.0779,2.4842,0.0133
489.67,68.7867,5.6313,0.1846,0.0369,0.8964,6.8398,99.2647,2.4838,0.0133
489.68,62.732,5.6471,0.1792,0.0357,0.9065,6.8832,99.4514,2.4833,0.0133
489.69,62.1852,5.7677,0.1732,0.034,0.9146,6.9696,99.6382,2.4829,0.0133
489.7,69.9461,6.0891,0.1655,0.0345,0.9142,6.9494,99.825,2.4825,0.0133
489.71,78.4634,6.4142,0.1645,0.0353,0.9097,6.902,100.1067,2.4816,0.0132
489.72,84.3664,6.6282,0.1639,0.0372,0.9054,6.791,100.3884,2.4808,0.0131
489.73,84.4482,6.5866,0.1693,0.037,0.9016,6.8067,100.67,2.4799,0.013
489.74,82.8182,6.5207,0.1724,0.0366,0.8946,6.8262,100.9517,2.4791,0.0129
489.75,75.0704,6.281,0.1762,0.0356,0.8882,6.8966,101.2334,2.4782,0.0128
489.76,69.6583,6.1114,0.1714,0.0351,0.8835,6.9144,101.5151,2.4773,0.0127
489.77,64.6186,5.9544,0.1707,0.0347,0.8856,6.9551,101.7968,2.4765,0.0126
489.78,61.9244,5.8568,0.1693,0.0349,0.8899,6.9359,102.0784,2.4756,0.0125
489.79,59.4472,5.7387,0.1693,0.0358,0.8962,6.9008,102.3601,2.4748,0.0124
489.8,59.0246,5.6861,0.1719,0.0364,0.8974,6.8604,102.6418,2.4739,0.0123
489.81,57.4692,5.6249,0.1804,0.0374,0.8968,6.838,102.4875,2.4737,0.0123
