TDEP,LITOLOGIA
103.9,CALCARENITO
104.0,CALCARENITO
104.1,ARENITO
104.2,ARENITO
104.3,ARENITO
104.4,ARENITO
104.5,ARENITO
104.6,CALCARENITO
104.7,CALCARENITO
104.8,CALCARENITO
104.9,CALCARENITO
105.0,CALCARENITO
105.1,CALCARENITO
105.2,CALCARENITO
105.3,CALCARENITO
105.4,CALCARENITO
105.5,CALCARENITO
105.6,ARENITO
105.7,ARENITO
105.8,ARENITO
105.9,ARENITO
106.0,ARENITO
106.1,CALCARENITO
106.2,CALCARENITO
106.3,CALCARENITO
106.4,CALCARENITO
106.5,CALCARENITO
106.6,CALCARENITO
106.7,CALCARENITO
106.8,CALCARENITO
106.9,CALCARENITO
107.0,CALCARENITO
107.1,CALCARENITO
107.2,CALCARENITO
107.3,CALCARENITO
107.4,CALCARENITO
107.5,CALCARENITO
107.6,CALCARENITO
107.7,CALCARENITO
107.8,CALCARENITO
107.9,CALCARENITO
108.0,CALCARENITO
108.1,CALCARENITO
108.2,CALCARENITO
108.3,CALCARENITO
108.4,CALCARENITO
108.5,ARENITO
108.6,ARENITO
108.7,ARENITO
108.8,ARENITO
108.9,ARENITO
109.0,ARENITO
109.1,ARENITO
109.2,ARENITO
109.3,ARENITO
109.4,ARENITO
109.5,ARENITO
109.6,ARENITO
109.7,ARENITO
109.8,ARENITO
109.9,ARENITO
110.0,ARENITO
110.1,CALCARENITO
110.2,CALCARENITO
110.3,CALCARENITO
110.4,CALCARENITO
110.5,CALCARENITO
110.6,CALCARENITO
110.7,CALCARENITO
110.8,CALCARENITO
110.9,CALCARENITO
111.0,CALCARENITO
111.1,CALCARENITO
111.2,CALCARENITO
111.3,CALCARENITO
111.4,CALCARENITO
111.5,CALCARENITO
111.6,ARENITO
111.7,ARENITO
111.8,ARENITO
111.9,ARENITO
112.0,ARENITO
112.1,ARENITO
112.2,ARENITO
112.3,ARENITO
112.4,ARENITO
112.5,CALCARENITO
112.6,CALCARENITO
112.7,CALCARENITO
112.8,CALCARENITO
112.9,CALCARENITO
113.0,ARENITO
113.1,ARENITO
113.2,ARENITO
113.3,ARENITO
113.4,ARENITO
113.5,ARENITO
113.6,ARENITO
113.7,ARENITO
113.8,ARENITO
113.9,ARENITO
114.0,CALCARENITO
114.1,CALCARENITO
114.2,CALCARENITO
114.3,CALCARENITO
114.4,CALCARENITO
114.5,CALCARENITO
114.6,CALCARENITO
114.7,CALCARENITO
114.8,CALCARENITO
114.9,CALCARENITO
115.0,CALCARENITO
115.1,CALCARENITO
115.2,CALCARENITO
115.3,CALCARENITO
115.4,CALCARENITO
115.5,CALCARENITO
115.6,CALCARENITO
115.7,CALCARENITO
115.8,CALCARENITO
115.9,CALCARENITO
116.0,CALCARENITO
116.1,CALCARENITO
116.2,CALCARENITO
116.3,CALCARENITO
116.4,CALCARENITO
116.5,CALCARENITO
116.6,ARENITO
116.7,ARENITO
116.8,ARENITO
116.9,ARENITO
117.0,ARENITO
117.1,ARENITO
117.2,ARENITO
117.3,ARENITO
117.4,ARENITO
117.5,ARENITO
117.6,ARENITO
117.7,ARENITO
117.8,ARENITO
